ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 491983, 484417, 489459, 510541, 481668, 489917, 510083, 513745, 497710,   2182,779
 492200, 538221, 433697, 566303, 538221, 436817, 563183, 500000, 484400,    641,599
 493375, 267221, 698334, 301666, 266464, 700227, 299773, 503785, 490535,   2642,397
 496180, 463794, 506568, 493432, 463489, 507791, 492209, 501525, 493885,   3273,775
 497683, 493979, 486569, 513431, 490583, 484100, 515900, 516980, 512345,   3239,796
 498118, 384287, 588604, 411396, 378263, 583333, 416667, 530120, 526355,   3984,304
 498183, 442426, 531420, 468580, 441336, 531057, 468943, 505450, 501815,   2753,853
 498818, 604926, 360966, 639034, 608716, 365229, 634771, 481050, 478685,   2111,1064
 498968, 260941, 711395, 288605, 255161, 706028, 293972, 528900, 526835,   2422,296
 500000, 150773, 815721, 184279, 150773, 815721, 184279, 500000, 500000,    776,1008
 500000, 206631, 770302, 229698, 206631, 770302, 229698, 500000, 500000,   2081,350
 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000,     20,287
 501260, 252020, 729797, 270203, 248484, 725757, 274243, 517680, 520200,   1980,1004
 501730, 341632, 624481, 375519, 338174, 620331, 379669, 517290, 520750,   1446,455
 502365, 433569, 543262, 456738, 433569, 542316, 457684, 500000, 504730,   2115,551
 502595, 565714, 414545, 585455, 563116, 410909, 589091, 512990, 518180,   1925,308
 502985, 616192, 356818, 643182, 619536, 358968, 641032, 483280, 489250,   4187,977
 503547, 159574, 813475, 186525, 158156, 810638, 189362, 507090, 514185,   1410,1048
 504250, 297067, 667658, 332342, 300042, 668933, 331067, 485125, 493625,   2353,434
 505865, 174745, 794761, 205239, 175527, 793197, 206803, 496090, 507820,   2558,708
 508282, 275303, 702245, 297755, 275671, 699300, 300700, 498160, 514725,   2717,389
 508447, 469594, 493243, 506757, 474099, 494369, 505631, 477475, 494370,    888,964
 509140, 445330, 529079, 470921, 446327, 526420, 473580, 495015, 513295,   3009,767
 510542, 451252, 527908, 472092, 450012, 522451, 477549, 506200, 527285,   4031,603
 511012,  77092, 896475, 103525,  81497, 896475, 103525, 477975, 500000,    908,29
 511875, 495067, 470953, 529047, 496529, 467665, 532335, 492690, 516440,   2737,183
 512547, 237226, 734489, 265511, 239507, 731751, 268249, 488595, 513690,   2192,418
 512552, 484767, 492132, 507868, 485436, 487780, 512220, 496655, 521760,   2987,857
 513467, 358249, 615151, 384849, 361279, 612794, 387206, 484850, 511785,   2970,138
 514775, 111111, 867612, 132388, 115248, 865839, 134161, 479315, 508865,   1692,1052
 515647, 228877, 746088, 253912, 232901, 743853, 256147, 479880, 511175,   2237,300
 515757, 347163, 627626, 372374, 346638, 620798, 379202, 502625, 534140,   1904,1000
 515817, 381285, 596736, 403264, 378288, 587412, 412588, 514985, 546620,   3003,743
 517737, 474186, 497920, 502080, 476877, 493516, 506484, 486545, 522020,   4087,926
 518227, 296671, 673534, 326466, 297305, 666877, 333123, 496830, 533285,   3155,654
 518545, 550445, 427299, 572701, 553412, 422848, 577152, 485165, 522255,   4718,471
 518710, 512266, 468607, 531393, 513097, 461954, 538046, 495845, 533265,   2405,338
 518807, 363636, 610658, 389342, 369278, 608777, 391223, 471790, 509405,   1595,692
 518835, 513698, 451369, 548631, 519178, 449315, 550685, 472600, 510270,   1460,393
 518952, 531463, 438968, 561032, 538286, 438210, 561790, 465885, 503790,   1319,220
 520820, 489204, 483960, 516040, 494756, 481184, 518816, 472240, 513880,   3242,771
 521035, 463430, 512297, 487703, 463754, 504207, 495793, 498380, 540450,   3090,608
 521355, 481296, 496907, 503093, 481590, 488659, 511341, 498530, 541240,   3395,72
 522727, 527575, 443636, 556364, 534242, 441212, 558788, 466665, 512120,   3300,178
 523280, 109869, 862197, 137803, 113594, 856610, 143390, 481375, 527935,   1611,203
 524012, 203546, 760990, 239010, 210195, 758034, 241966, 466755, 514780,   2707,330
 524210, 221755, 752743, 247257, 223692, 744996, 255004, 490315, 538735,   3098,253
 524285, 522465, 460230, 539770, 525804, 453855, 546145, 483305, 531875,   3294,763
 524530, 147959, 831240, 168760, 151491, 824960, 175040, 482340, 531400,   2548,320
 524887, 215837, 757466, 242534, 221719, 753393, 246607, 470590, 520365,   2210,410
 525840, 617571, 361240, 638760, 621188, 354521, 645479, 481915, 533595,   1935,841
 527750, 493595, 473953, 526047, 501280, 470538, 529462, 461575, 517075,   1171,951
 528775, 505754, 474610, 525390, 506431, 463777, 536223, 496615, 554165,   1477,905
 530112, 468918, 511722, 488278, 471069, 501828, 498172, 489245, 549470,   4649,64
 533145, 508174, 467079, 532921, 514361, 460008, 539992, 469065, 535355,   2263,922
 533752, 249324, 729972, 270028, 252925, 720072, 279928, 481995, 549500,   1111,447
 534812, 172784, 806329, 193671, 177848, 797468, 202532, 474680, 544305,   1580,713
 536370, 476280, 502213, 497787, 484503, 495888, 504112, 458885, 531625,   1581,438
 537110, 378030, 597723, 402277, 383473, 588322, 411678, 472785, 547005,   2021,636
 537840, 567567, 404324, 595676, 575135, 396756, 603244, 462160, 537840,    925,207
 539190, 191891, 779459, 220541, 183783, 755675, 244325, 540540, 618920,   1850,275
 540242, 421951, 553170, 446830, 430731, 545853, 454147, 456100, 536585,   2050,632
 540542, 169111, 803088, 196912, 178378, 796138, 203862, 453665, 534750,   1295,279
 540570, 427991, 543610, 456390, 434077, 533468, 466532, 469570, 550710,    493,47
 540620, 378147, 600731, 399269, 383834, 590170, 409830, 471565, 552805,   2462,51
 540670, 273684, 704306, 295694, 281818, 696172, 303828, 459330, 540670,   2090,430
 541125, 288553, 683344, 316656, 296093, 674434, 325566, 462300, 544550,   1459,804
 541842, 142259, 833682, 166318, 145920, 820606, 179394, 481695, 565380,   1912,199
 542877, 497856, 471176, 528824, 508337, 464506, 535494, 447595, 533350,   2099,1036
 543262, 477132, 501854, 498146, 485372, 492789, 507211, 458800, 545325,   2427,759
 544702, 482119, 503311, 496689, 482781, 486092, 513908, 496690, 586095,   1510,820
 546125, 249077, 726937, 273063, 241697, 701107, 298893, 536900, 629150,    542,381
